series_id,iso3,country_ja,region,sub_region,category,year,units,installed_base
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,1995,21805,165137
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,1996,23660,168155
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,1997,22339,169475
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,1998,21251,169541
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,1999,19732,168080
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2000,22866,169936
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2001,23157,171851
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2002,22548,172917
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2003,26587,177890
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2004,25994,181647
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2005,26079,185020
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2006,28371,190263
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2007,29763,196243
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2008,32178,203891
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2009,24122,202527
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2010,31709,208920
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2011,28173,210978
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2012,27694,212299
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2013,30176,215938
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2014,29157,218102
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2015,30320,221159
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2016,28149,221663
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2017,30142,224097
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2018,30640,226725
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2019,27142,225527
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2020,24636,221972
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2021,25370,219595
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2022,29117,221263
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2023,28157,221762
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2024,29032,223074
JPN_ミニショベル,JPN,日本,日本,日本,ミニショベル,2025,29854,225043
JPN_一般建機,JPN,日本,日本,日本,一般建機,1995,17742,175232
JPN_一般建機,JPN,日本,日本,日本,一般建機,1996,18155,177457
JPN_一般建機,JPN,日本,日本,日本,一般建機,1997,14271,175595
JPN_一般建機,JPN,日本,日本,日本,一般建機,1998,11907,171539
JPN_一般建機,JPN,日本,日本,日本,一般建機,1999,12308,168253
JPN_一般建機,JPN,日本,日本,日本,一般建機,2000,18156,171113
JPN_一般建機,JPN,日本,日本,日本,一般建機,2001,13725,169282
JPN_一般建機,JPN,日本,日本,日本,一般建機,2002,9779,163672
JPN_一般建機,JPN,日本,日本,日本,一般建機,2003,8302,157095
JPN_一般建機,JPN,日本,日本,日本,一般建機,2004,10769,153583
JPN_一般建機,JPN,日本,日本,日本,一般建機,2005,12623,152243
JPN_一般建機,JPN,日本,日本,日本,一般建機,2006,15565,153968
JPN_一般建機,JPN,日本,日本,日本,一般建機,2007,14729,154700
JPN_一般建機,JPN,日本,日本,日本,一般建機,2008,14545,155181
JPN_一般建機,JPN,日本,日本,日本,一般建機,2009,9350,150424
JPN_一般建機,JPN,日本,日本,日本,一般建機,2010,9993,146742
JPN_一般建機,JPN,日本,日本,日本,一般建機,2011,14817,148218
JPN_一般建機,JPN,日本,日本,日本,一般建機,2012,15626,150370
JPN_一般建機,JPN,日本,日本,日本,一般建機,2013,17230,153930
JPN_一般建機,JPN,日本,日本,日本,一般建機,2014,16887,156823
JPN_一般建機,JPN,日本,日本,日本,一般建機,2015,16412,158979
JPN_一般建機,JPN,日本,日本,日本,一般建機,2016,13865,158391
JPN_一般建機,JPN,日本,日本,日本,一般建機,2017,14758,158750
JPN_一般建機,JPN,日本,日本,日本,一般建機,2018,14380,158698
JPN_一般建機,JPN,日本,日本,日本,一般建機,2019,14927,159198
JPN_一般建機,JPN,日本,日本,日本,一般建機,2020,14076,158801
JPN_一般建機,JPN,日本,日本,日本,一般建機,2021,13665,158030
JPN_一般建機,JPN,日本,日本,日本,一般建機,2022,15523,159187
JPN_一般建機,JPN,日本,日本,日本,一般建機,2023,15598,160313
